model,roc_auc,precision,recall,f1
Logistic Regression,0.6926715742701385,0.06986934353091141,0.9626783754116356,0.13028299784594816
XGBoost,0.6960126319395485,0.07614076140761408,0.9286498353457738,0.1407419730494094
